transaction_id,type,time,value
20000,BEGIN,241,
20000,attr_A,244,14
20000,attr_B,247,16
20000,attr_C,250,67
20000,attr_D,254,-37
20000,attr_D,257,-37
20000,attr_C,260,67
20000,attr_B,263,16
20000,attr_A,266,14
20000,END,269,
20001,BEGIN,276,
20001,attr_A,279,13
20001,attr_B,282,17
20001,attr_C,285,35
20001,attr_D,289,-5
20001,attr_D,292,-5
20001,attr_C,297,35
20001,attr_B,303,17
20001,attr_A,306,13
20001,END,309,
20002,BEGIN,320,
20002,attr_A,324,11
20002,attr_B,327,19
20002,attr_C,330,80
20002,attr_D,333,-50
20002,attr_D,340,-50
20002,attr_C,342,80
20002,attr_B,345,19
20002,attr_A,348,11
20002,END,350,
20003,BEGIN,353,
20003,attr_A,357,23
20003,attr_B,363,7
20003,attr_C,366,30
20003,attr_D,369,0
20003,attr_D,372,0
20003,attr_C,374,30
20003,attr_B,376,7
20003,attr_A,379,23
20003,END,381,
20004,BEGIN,385,
20004,attr_A,387,23
20004,attr_B,390,7
20004,attr_C,392,30
20004,attr_D,394,0
20004,attr_D,396,0
20004,attr_C,399,30
20004,attr_B,400,7
20004,attr_A,403,23
20004,END,405,
20005,BEGIN,408,
20005,attr_B,411,7
20005,attr_A,415,23
20005,attr_B,419,12
20005,attr_A,425,18
20005,attr_B,429,12
20005,attr_A,431,18
20005,attr_B,433,12
20005,attr_A,437,18
20005,attr_B,443,22
20005,attr_A,449,8
20005,attr_B,454,22
20005,attr_A,465,8
20005,attr_D,470,0
20005,attr_C,474,30
20005,attr_D,478,7
20005,attr_C,481,23
20005,attr_D,487,7
20005,attr_C,492,23
20005,attr_D,493,7
20005,attr_C,497,23
20005,attr_D,501,17
20005,attr_C,505,13
20005,attr_D,509,17
20005,attr_C,513,13
20005,END,515,
20006,BEGIN,527,
20006,attr_A,536,10
20006,attr_B,540,20
20006,attr_A,543,12
20006,attr_B,547,18
20006,attr_A,550,12
20006,attr_B,562,18
20006,attr_D,564,-4
20006,attr_C,567,34
20006,attr_D,574,-3
20006,attr_C,577,33
20006,attr_D,580,-3
20006,attr_C,583,33
